4963160	4971068	East Boothbay	East Boothbay	43.86508	-69.58643	
3113087	3336902	Portonovo	Portonovo	42.39424	-8.82563	
2980856	2985244	Saint-Didier	Saint-Didier	44.00424	5.11053	
6172501	6091530	Upper Northfield	Upper Northfield	44.50164	-64.6147	
4580931	4597040	Hamer	Hamer	34.47794	-79.33088	
3171399	3164604	Pastrengo	Pastrengo	45.49309	10.79978	
2960276	2960314	Мерш	Mersch	49.74889	6.10611	
3016297	2986492	Gensac-la-Pallue	Gensac-la-Pallue	45.65	-0.25	
3019703	2987375	Espaubourg	Espaubourg	49.42183	1.86619	
2967337	3038033	Wintzenheim	Wintzenheim	48.07269	7.29072	
2976542	2986492	Сент-Ирьекс-сюр-Шарант	Saint-Yrieix-sur-Charente	45.68333	0.11667	
4528036	5165418	West Milton	West Milton	39.96255	-84.328	
4676740	4736286	Браунсвилл	Brownsville	25.90175	-97.49748	
3169934	3181042	Прата-ди-Принчипато-Ультра	Prata di Principato Ultra	40.98722	14.83724	
5382496	5332921	Pico Rivera	Pico Rivera	33.98307	-118.09674	
2743684	2756631	Zuidlaarderveen	Zuidlaarderveen	53.10333	6.74861	
5233042	5769223	Worthing	Worthing	43.32915	-96.76283	
5382026	5332921	Penryn	Penryn	38.85212	-121.16939	
3055030	3053028	Bicske	Bicske	47.48419	18.64404	
4293086	6254925	Gracey	Gracey	36.8781	-87.66223	
2521823	2513413	Alquerias	Alquerias	38.01401	-1.03748	
6543862	2990119	Вильнёв-д’Аск	Villeneuve-d'Ascq	50.61669	3.16664	
4948449	6254926	Raynham	Raynham	41.94871	-71.0731	
4332799	4331987	Maurepas	Maurepas	30.29686	-90.66398	
3017906	3027939	Fontenay-sur-Loing	Fontenay-sur-Loing	48.10365	2.77542	
3448659	3451133	Sao Jose do Inhacora	Sao Jose do Inhacora	-27.72472	-54.12917	
2996148	3012874	Мант-ла-Жоли	Mantes-la-Jolie	48.98333	1.71667	
5888572	6093943	Avonmore	Avonmore	45.1668	-74.966	
2788765	3337387	Понт-а-Сель	Pont-a-Celles	50.50518	4.36887	
3199438	3229999	Hadzici	Hadzici	43.82222	18.20667	
5793832	5815135	Ephrata	Ephrata	47.31764	-119.55365	
2971053	2983751	Валанс	Valence	44.93333	4.9	
3621819	3621837	San Juan	San Juan	9.95974	-84.08165	
2272447	2263478	Абрантиш	Abrantes	39.46667	-8.2	
2934317	2951839	Дюрлауинген	Durrlauingen	48.46666	10.4286	
4853828	4862182	Де-Мойн	Des Moines	41.60054	-93.60911	
5156602	5165418	Grover Hill	Grover Hill	41.01922	-84.47662	
2984537	2990119	Рем	Raismes	50.38333	3.48333	
2660495	2660717	Grolley	Grolley	46.8336	7.07116	
2968752	3037350	Villefranche-du-Queyran	Villefranche-du-Queyran	44.30756	0.19712	
3434509	3435907	El Palomar	El Palomar	-34.54167	-58.61528	
2745105	2749879	Waarland	Waarland	52.72667	4.83194	
6138282	6115047	Saint-Georges	Saint-Georges	46.62475	-72.65772	
2861973	2953481	Нордхайм	Nordheim	49.10861	9.12778	
2885495	2847618	Kordel	Kordel	49.83333	6.63333	
3038355	3027257	Экс-ан-От	Aix-en-Othe	48.22391	3.73425	
3006283	3037350	Ла-Тест-де-Бюш	La Teste-de-Buch	44.62875	-1.14059	
5120545	5128638	Herkimer	Herkimer	43.02563	-74.98599	
4190396	4197000	Камминг	Cumming	34.20732	-84.14019	
538836	542415	Курганинск	Kurganinsk	44.88	40.59861	03227501
5942845	6115047	Драммондвилл	Drummondville	45.88336	-72.48241	
304797	304794	Мардин	Mardin	37.31309	40.74357	
2179460	2192628	West Melton	West Melton	-43.51667	172.36667	
4661041	4662168	Sunbright	Sunbright	36.24341	-84.66994	
5970492	6354959	Harbour Grace	Harbour Grace	47.68549	-53.22638	
2866757	2953481	Неккартайльфинген	Neckartailfingen	48.61172	9.26371	
4673398	4736286	Bellville	Bellville	29.95023	-96.25719	
2839393	2951839	Ширлинг	Schierling	48.83422	12.13946	
2611509	6418541	Tollose	Tollose	55.6125	11.77034	
2975321	2986492	Segonzac	Segonzac	45.61667	-0.21667	
2655046	2633868	Box	Box	51.41472	-2.24556	
1733440	1733039	Putatan	Putatan	5.9258	116.06094	
5463166	5481136	Corona	Corona	34.25091	-105.59667	
3033868	3037350	Beguey	Beguey	44.64265	-0.32268	
1798422	1808520	Puyang	Puyang	35.70278	115.00528	
4907898	4896861	Rock Falls	Rock Falls	41.77975	-89.689	
3179162	3177401	Ченто	Cento	44.72597	11.28821	
304184	304183	Мугла	Mugla	37.21807	28.3665	
4849542	4862182	Brunsville	Brunsville	42.80971	-96.26919	
2967460	2990119	Warhem	Warhem	50.97592	2.49303	
2985543	2983751	Praz-sur-Arly	Praz-sur-Arly	45.83661	6.5732	
2871718	2847618	Mertesheim	Mertesheim	49.57167	8.13556	
2873302	2951839	Марктграйц	Marktgraitz	50.18358	11.19441	
3033863	3037350	Беаск-Лапист	Behasque-Lapiste	43.32421	-1.0103	
2974775	3007670	Servian	Servian	43.42716	3.30032	
3038711	3012874	Acheres-la-Foret	Acheres-la-Foret	48.35458	2.57035	
5197457	6254927	Lawrenceville	Lawrenceville	41.99757	-77.12608	
5074639	5073708	Otoe	Otoe	40.72361	-96.11695	
1260728	1267254	Палгхат	Palakkad	10.7744	76.65625	
6185217	6091530	Ярмут	Yarmouth	43.83345	-66.11557	
2979976	2983751	Сен-Жуар-ан-Вальден	Saint-Geoire-en-Valdaine	45.45699	5.63416	
3156862	3143487	Follebu	Follebu	61.21581	10.28498	
2509365	2593112	Zalamea de la Serena	Zalamea de la Serena	38.65131	-5.66063	
3157799	3132064	Farsund	Farsund	58.09479	6.80468	
4665558	4662168	Walland	Walland	35.72814	-83.81323	
2679745	3337386	Savedalen	Savedalen	57.73119	12.06994	
5030832	5037779	Howard Lake	Howard Lake	45.0608	-94.07331	
