751816	TR-08	TR	Артвин	Artvin	Europe/Istanbul	
3488716	JM-02	JM	Сент-Андру	Parish of Saint Andrew	America/Jamaica	
2735941	PT-13	PT	Порту	Distrito do Porto	Europe/Lisbon	
3333175	GB-NEL	GB	Северо-Восточный Линкольншир	North East Lincolnshire	Europe/London	
3182306	IT-77	IT	Базиликата	Regione Basilicata	Europe/Rome	
3337406	IS-8	IS	Сюдюрланд	Sudurland	Atlantic/Reykjavik	
162181	TM-A	TM	Ахалский велаят	Ahal	Asia/Ashgabat	
8335085	GN-B	GN	Боке	Boke Region	Africa/Conakry	
669737	RO-PH	RO	Прахова	Prahova	Europe/Bucharest	
3451133	BR-RS	BR	Риу-Гранди-ду-Сул	Estado do Rio Grande do Sul	America/Sao_Paulo	
3333134	GB-BST	GB	Бристоль	Bristol	Europe/London	
2268337	PT-08	PT	Фару	Distrito de Faro	Europe/Lisbon	
2538470	MA-07	MA	Рабат-Сале-Заммур-Заер	Region de Rabat-Sale-Zemmour-Zaer	Africa/Casablanca	
2652151	GB-CGV	GB	Крейгевон	Craigavon	Europe/London	
691649	UA-61	UA	Тернопольская область	Ternopil's'ka Oblast'	Europe/Uzhgorod	61
3566062	CU-09	CU	Камагуэй	Provincia de Camaguey	America/Havana	
2651712	GB-CMA	GB	Камбрия	Cumbria	Europe/London	
7267902		VI	Санта-Крус	Saint Croix Island	America/St_Thomas	
2597366	NG-TA	NG	Тараба	Taraba State	Africa/Lagos	
3909233	BO-O	BO	Оруро	Departamento de Oruro	America/La_Paz	
2190767	NZ-GIS	NZ	Гисборн	Gisborne	Pacific/Auckland	
2210245	LY-TB	LY	Тарабулус	Tripoli District	Africa/Tripoli	
616051	AM-ER	AM	Ереван	Yerevan	Asia/Yerevan	
1151073	TH-77	TH	Прачуапкхирикхан	Changwat Prachuap Khiri Khan	Asia/Bangkok	
2130037	JP-01	JP	Хоккайдо	Hokkaido	Asia/Tokyo	
3514780	MX-VER	MX	Веракрус	Estado de Veracruz-Llave	America/Mexico_City	
592133	EE-39	EE	Хийумаа	Hiiumaa	Europe/Tallinn	
1642907	ID-JK	ID	Джакарта	Daerah Khusus Ibukota Jakarta	Asia/Jakarta	
3337495	PL-OP	PL	Опольское воеводство	Opolskie	Europe/Warsaw	
3333183	GB-POR	GB	Портсмут	Portsmouth	Europe/London	
468898	RU-YAR	RU	Ярославская область	Yaroslavskaya Oblast'	Europe/Moscow	78
3054638	HU-BU	HU	Будапешт	Budapest fovaros	Europe/Budapest	
2635028	GB-VGL	GB	Долина Гламорган	Vale of Glamorgan	Europe/London	
3934607	PE-MOQ	PE	Мокегуа	Departamento de Moquegua	America/Lima	
2647043	GB-HRT	GB	Хартфордшир	Hertfordshire	Europe/London	
2108831	SB-GU	SB	Гуадалканал	Guadalcanal Province	Pacific/Guadalcanal	
865521	TR-81	TR	Дюздже	Duezce	Europe/Istanbul	
3700159	PA-9	PA	Верагуас	Provincia de Veraguas	America/Panama	
515001	RU-ORE	RU	Оренбургская область	Orenburgskaya Oblast'	Asia/Yekaterinburg	53
3333123	GB-BAS	GB	Бат и Северо-Восточный Сомерсет	Bath and North East Somerset	Europe/London	
4564949		PR	Фахардо	Fajardo Municipio	America/Puerto_Rico	
7671048	BD-F	BD	Рангпур	Rajshahi Division	Asia/Dhaka	
3239105	SI-053	SI	Краньска Гора	Kranjska Gora	Europe/Ljubljana	
5769223	US-SD	US	Южная Дакота	South Dakota	America/Chicago	
862945	MK-56	MK	Ново Село	Novo Selo	Europe/Skopje	
2519582	ES-CE	ES	Сеута	Ceuta	Africa/Ceuta	
4568105		PR	Сан-Герман	San German Municipio	America/Puerto_Rico	
3426183	IS-2	IS	Судурнэс	Sudurnes	Atlantic/Reykjavik	
7521430		YT	Кунгу	Koungou	Indian/Mayotte	
3573198	BM-HA	BM	Hamilton	Hamilton	Atlantic/Bermuda	
1153080	TH-71	TH	Канчанабури	Changwat Kanchanaburi	Asia/Bangkok	
689559	UA-05	UA	Винницкая область	Vinnyts'ka Oblast'	Europe/Kiev	05
1835847	KR-11	KR	Сеул	Seoul	Asia/Seoul	
1811017	CN-35	CN	Фуцзянь	Fujian Sheng	Asia/Shanghai	
662892	RO-VL	RO	Вылча	Judetul Valcea	Europe/Bucharest	
863902	MK-73	MK	Струмица	Strumica	Europe/Skopje	
2464912	TN-51	TN	Сус	Gouvernorat de Sousse	Africa/Tunis	
4482348	US-NC	US	Северная Каролина	North Carolina	America/New_York	
1594446	VN-44	VN	Анзянг	An Giang	Asia/Ho_Chi_Minh	
7521431		YT	Мамудзу	Mamoudzou	Indian/Mayotte	
7062136	EC-SD	EC	Санто-Доминго-де-лос-Тсачилас	Provincia de Santo Domingo de los Tsachilas	America/Guayaquil	
1273726	IN-DN	IN	Дадра и Нагар-Хавели	Union Territory of Dadra and Nagar Haveli	Asia/Kolkata	
2505525	DZ-08	DZ	Бешар	Wilaya de Bechar	Africa/Algiers	
2490095	DZ-29	DZ	Маскара	Wilaya de Mascara	Africa/Algiers	
3873544	CL-RM	CL	Сантьяго	Region Metropolitana de Santiago	America/Santiago	
3186843	SI-190	SI	Жалец	Obcina Zalec	Europe/Ljubljana	
3333167	GB-LIV	GB	Ливерпуль	Liverpool	Europe/London	
3333169	GB-MAN	GB	Манчестер	Manchester	Europe/London	
4331987	US-LA	US	Луизиана	Louisiana	America/Chicago	
728204	BG-15	BG	Плевенская	Oblast Pleven	Europe/Sofia	
933210	BW-NE	BW	Северо-Восточный	North East District	Africa/Gaborone	
1150532	TH-64	TH	Сукхотхай	Changwat Sukhothai	Asia/Bangkok	
3239093	SI-146	SI	Железники	Obcina Zelezniki	Europe/Ljubljana	
3441890	UY-MA	UY	Мальдонадо	Departamento de Maldonado	America/Montevideo	
